# ADC Lookup Table Generated by A. Hedglen
# Nov 2019
#
# Atmospheric Pressure = 765 mb
# Temperature = 290 K
# Height = 2380 m
# Humidity = 0.5
# Latitude = 29.015
# Wavelength: 0.6 - 1.1 um
#
#Zenith,ADC1,ADC2
0.0000,0.0000,-0.0000
0.1000,-0.0269,0.0270
0.2000,-0.0478,0.0600
0.3000,0.3062,0.4639
0.4000,0.8164,1.0276
0.5000,1.4674,1.7322
0.6000,2.2119,2.5305
0.7000,2.9860,3.3583
0.8000,3.7167,4.1427
0.9000,4.3329,4.8124
1.0000,4.7788,5.3119
1.1000,4.7599,5.3507
1.2000,4.7389,5.3835
1.3000,4.7129,5.4112
1.4000,4.6810,5.4331
1.5000,4.6425,5.4484
1.6000,4.2180,5.0785
1.7000,3.8301,4.7448
1.8000,3.4875,4.4564
1.9000,3.1899,4.2130
2.0000,3.1505,4.2271
2.1000,2.7828,3.9141
2.2000,2.7427,3.9275
2.3000,2.3945,3.6340
2.4000,2.3559,3.6490
2.5000,2.0594,3.4072
2.6000,2.0226,3.4239
2.7000,1.8050,3.2605
2.8000,1.7675,3.2770
2.9000,1.5874,3.1511
3.0000,1.5488,3.1665
3.1000,1.3819,3.0538
3.2000,1.3427,3.0687
3.3000,1.1928,2.9730
3.4000,1.1534,2.9877
3.5000,1.0195,2.9080
3.6000,0.9797,2.9223
3.7000,0.8598,2.8566
3.8000,0.8195,2.8705
3.9000,0.7117,2.8169
4.0000,0.6642,2.8236
4.1000,0.5793,2.7929
4.2000,0.5226,2.7905
4.3000,0.4473,2.7695
4.4000,0.3899,2.7663
4.5000,0.3230,2.7537
4.6000,0.2576,2.7426
4.7000,0.2005,2.7398
4.8000,0.1424,2.7360
4.9000,0.0842,2.7321
5.0000,0.0263,2.7286
5.1000,-0.0308,2.7258
5.2000,-0.0806,2.7305
5.3000,-0.1384,2.7271
5.4000,-0.1878,2.7321
5.5000,-0.2445,2.7299
5.6000,-0.2928,2.7360
5.7000,-0.3416,2.7416
5.8000,-0.3906,2.7471
5.9000,-0.4394,2.7529
6.0000,-0.4878,2.7590
6.1000,-0.5357,2.7657
6.2000,-0.5770,2.7789
6.3000,-0.6260,2.7845
6.4000,-0.6735,2.7917
6.5000,-0.7142,2.8056
6.6000,-0.7618,2.8127
6.7000,-0.8023,2.8269
6.8000,-0.8437,2.8402
6.9000,-0.8912,2.8474
7.0000,-0.9312,2.8622
7.1000,-0.9719,2.8763
7.2000,-1.0128,2.8902
7.3000,-1.0537,2.9041
7.4000,-1.0946,2.9181
7.5000,-1.1352,2.9323
7.6000,-1.1756,2.9468
7.7000,-1.2157,2.9617
7.8000,-1.2555,2.9768
7.9000,-1.2950,2.9923
8.0000,-1.3342,3.0081
8.1000,-1.3731,3.0243
8.2000,-1.4117,3.0407
8.3000,-1.4501,3.0575
8.4000,-1.4881,3.0746
8.5000,-1.5259,3.0920
8.6000,-1.5634,3.1096
8.7000,-1.6007,3.1275
8.8000,-1.6378,3.1457
8.9000,-1.6747,3.1641
9.0000,-1.7113,3.1828
9.1000,-1.7477,3.2017
9.2000,-1.7840,3.2208
9.3000,-1.8201,3.2401
9.4000,-1.8560,3.2597
9.5000,-1.8917,3.2794
9.6000,-1.9273,3.2993
9.7000,-1.9627,3.3194
9.8000,-1.9980,3.3397
9.9000,-2.0331,3.3602
10.0000,-2.0681,3.3809
10.1000,-2.1030,3.4017
10.2000,-2.1377,3.4227
10.3000,-2.1723,3.4438
10.4000,-2.2068,3.4651
10.5000,-2.2412,3.4865
10.6000,-2.2755,3.5081
10.7000,-2.3096,3.5298
10.8000,-2.3437,3.5517
10.9000,-2.3777,3.5737
11.0000,-2.4116,3.5958
11.1000,-2.4454,3.6181
11.2000,-2.4791,3.6404
11.3000,-2.5127,3.6630
11.4000,-2.5463,3.6856
11.5000,-2.5797,3.7083
11.6000,-2.6131,3.7312
11.7000,-2.6465,3.7541
11.8000,-2.6797,3.7772
11.9000,-2.7129,3.8004
12.0000,-2.7461,3.8237
12.1000,-2.7791,3.8471
12.2000,-2.8122,3.8706
12.3000,-2.8451,3.8941
12.4000,-2.8780,3.9178
12.5000,-2.9109,3.9416
12.6000,-2.9437,3.9655
12.7000,-2.9765,3.9895
12.8000,-3.0092,4.0135
12.9000,-3.0418,4.0377
13.0000,-3.0745,4.0619
13.1000,-3.1071,4.0863
13.2000,-3.1396,4.1107
13.3000,-3.1721,4.1352
13.4000,-3.2046,4.1598
13.5000,-3.2371,4.1844
13.6000,-3.2695,4.2092
13.7000,-3.3019,4.2340
13.8000,-3.3342,4.2589
13.9000,-3.3666,4.2839
14.0000,-3.3989,4.3089
14.1000,-3.4312,4.3341
14.2000,-3.4634,4.3593
14.3000,-3.4957,4.3846
14.4000,-3.5279,4.4099
14.5000,-3.5601,4.4354
14.6000,-3.5922,4.4609
14.7000,-3.6244,4.4864
14.8000,-3.6566,4.5121
14.9000,-3.6887,4.5378
15.0000,-3.7208,4.5636
15.1000,-3.7529,4.5894
15.2000,-3.7850,4.6154
15.3000,-3.8171,4.6414
15.4000,-3.8492,4.6674
15.5000,-3.8812,4.6935
15.6000,-3.9133,4.7197
15.7000,-3.9454,4.7460
15.8000,-3.9774,4.7723
15.9000,-4.0094,4.7987
16.0000,-4.0415,4.8251
16.1000,-4.0735,4.8516
16.2000,-4.1056,4.8782
16.3000,-4.1376,4.9048
16.4000,-4.1696,4.9315
16.5000,-4.2017,4.9583
16.6000,-4.2337,4.9851
16.7000,-4.2657,5.0120
16.8000,-4.2978,5.0389
16.9000,-4.3298,5.0659
17.0000,-4.3619,5.0930
17.1000,-4.3939,5.1201
17.2000,-4.4260,5.1473
17.3000,-4.4581,5.1745
17.4000,-4.4901,5.2018
17.5000,-4.5222,5.2292
17.6000,-4.5543,5.2566
17.7000,-4.5864,5.2841
17.8000,-4.6185,5.3116
17.9000,-4.6506,5.3392
18.0000,-4.6828,5.3669
18.1000,-4.7149,5.3946
18.2000,-4.7471,5.4224
18.3000,-4.7792,5.4502
18.4000,-4.8114,5.4781
18.5000,-4.8436,5.5060
18.6000,-4.8758,5.5340
18.7000,-4.9081,5.5621
18.8000,-4.9403,5.5902
18.9000,-4.9726,5.6184
19.0000,-5.0049,5.6466
19.1000,-5.0372,5.6749
19.2000,-5.0695,5.7033
19.3000,-5.1018,5.7317
19.4000,-5.1342,5.7601
19.5000,-5.1666,5.7886
19.6000,-5.1990,5.8172
19.7000,-5.2314,5.8458
19.8000,-5.2638,5.8745
19.9000,-5.2963,5.9033
20.0000,-5.3288,5.9321
20.1000,-5.3613,5.9609
20.2000,-5.3938,5.9899
20.3000,-5.4264,6.0188
20.4000,-5.4590,6.0479
20.5000,-5.4916,6.0770
20.6000,-5.5242,6.1061
20.7000,-5.5569,6.1353
20.8000,-5.5896,6.1646
20.9000,-5.6223,6.1939
21.0000,-5.6551,6.2233
21.1000,-5.6879,6.2527
21.2000,-5.7207,6.2822
21.3000,-5.7535,6.3117
21.4000,-5.7864,6.3414
21.5000,-5.8193,6.3710
21.6000,-5.8522,6.4007
21.7000,-5.8852,6.4305
21.8000,-5.9182,6.4604
21.9000,-5.9512,6.4903
22.0000,-5.9843,6.5202
22.1000,-6.0174,6.5502
22.2000,-6.0505,6.5803
22.3000,-6.0837,6.6104
22.4000,-6.1169,6.6406
22.5000,-6.1501,6.6709
22.6000,-6.1834,6.7012
22.7000,-6.2167,6.7316
22.8000,-6.2500,6.7620
22.9000,-6.2834,6.7925
23.0000,-6.3168,6.8230
23.1000,-6.3503,6.8536
23.2000,-6.3838,6.8843
23.3000,-6.4173,6.9150
23.4000,-6.4509,6.9458
23.5000,-6.4845,6.9767
23.6000,-6.5182,7.0076
23.7000,-6.5519,7.0386
23.8000,-6.5856,7.0696
23.9000,-6.6194,7.1007
24.0000,-6.6532,7.1319
24.1000,-6.6871,7.1631
24.2000,-6.7210,7.1944
24.3000,-6.7550,7.2257
24.4000,-6.7890,7.2571
24.5000,-6.8230,7.2886
24.6000,-6.8571,7.3201
24.7000,-6.8912,7.3517
24.8000,-6.9254,7.3834
24.9000,-6.9596,7.4151
25.0000,-6.9939,7.4469
25.1000,-7.0282,7.4788
25.2000,-7.0626,7.5107
25.3000,-7.0970,7.5427
25.4000,-7.1315,7.5747
25.5000,-7.1660,7.6068
25.6000,-7.2006,7.6390
25.7000,-7.2352,7.6713
25.8000,-7.2699,7.7036
25.9000,-7.3046,7.7359
26.0000,-7.3394,7.7684
26.1000,-7.3742,7.8009
26.2000,-7.4091,7.8335
26.3000,-7.4440,7.8661
26.4000,-7.4790,7.8988
26.5000,-7.5141,7.9316
26.6000,-7.5491,7.9645
26.7000,-7.5843,7.9974
26.8000,-7.6195,8.0304
26.9000,-7.6548,8.0634
27.0000,-7.6901,8.0966
27.1000,-7.7255,8.1298
27.2000,-7.7609,8.1630
27.3000,-7.7964,8.1964
27.4000,-7.8319,8.2298
27.5000,-7.8675,8.2633
27.6000,-7.9032,8.2968
27.7000,-7.9389,8.3305
27.8000,-7.9747,8.3642
27.9000,-8.0106,8.3979
28.0000,-8.0465,8.4318
28.1000,-8.0824,8.4657
28.2000,-8.1185,8.4997
28.3000,-8.1546,8.5338
28.4000,-8.1907,8.5679
28.5000,-8.2269,8.6021
28.6000,-8.2632,8.6364
28.7000,-8.2996,8.6708
28.8000,-8.3360,8.7052
28.9000,-8.3725,8.7397
29.0000,-8.4090,8.7743
29.1000,-8.4456,8.8090
29.2000,-8.4823,8.8438
29.3000,-8.5191,8.8786
29.4000,-8.5559,8.9135
29.5000,-8.5928,8.9485
29.6000,-8.6297,8.9835
29.7000,-8.6668,9.0187
29.8000,-8.7039,9.0539
29.9000,-8.7410,9.0892
30.0000,-8.7783,9.1246
30.1000,-8.8156,9.1601
30.2000,-8.8530,9.1956
30.3000,-8.8904,9.2313
30.4000,-8.9279,9.2670
30.5000,-8.9655,9.3028
30.6000,-9.0032,9.3386
30.7000,-9.0410,9.3746
30.8000,-9.0788,9.4107
30.9000,-9.1167,9.4468
31.0000,-9.1547,9.4830
31.1000,-9.1927,9.5193
31.2000,-9.2309,9.5557
31.3000,-9.2691,9.5922
31.4000,-9.3074,9.6287
31.5000,-9.3458,9.6654
31.6000,-9.3842,9.7021
31.7000,-9.4228,9.7390
31.8000,-9.4614,9.7759
31.9000,-9.5001,9.8129
32.0000,-9.5388,9.8500
32.1000,-9.5777,9.8872
32.2000,-9.6166,9.9245
32.3000,-9.6557,9.9618
32.4000,-9.6948,9.9993
32.5000,-9.7340,10.0368
32.6000,-9.7733,10.0745
32.7000,-9.8127,10.1122
32.8000,-9.8521,10.1501
32.9000,-9.8917,10.1880
33.0000,-9.9313,10.2260
33.1000,-9.9710,10.2641
33.2000,-10.0108,10.3024
33.3000,-10.0507,10.3407
33.4000,-10.0907,10.3791
33.5000,-10.1308,10.4176
33.6000,-10.1710,10.4562
33.7000,-10.2113,10.4949
33.8000,-10.2516,10.5337
33.9000,-10.2921,10.5726
34.0000,-10.3326,10.6116
34.1000,-10.3733,10.6508
34.2000,-10.4140,10.6900
34.3000,-10.4549,10.7293
34.4000,-10.4958,10.7687
34.5000,-10.5369,10.8082
34.6000,-10.5780,10.8479
34.7000,-10.6192,10.8876
34.8000,-10.6606,10.9274
34.9000,-10.7020,10.9674
35.0000,-10.7435,11.0074
35.1000,-10.7852,11.0476
35.2000,-10.8269,11.0879
35.3000,-10.8688,11.1282
35.4000,-10.9107,11.1687
35.5000,-10.9528,11.2093
35.6000,-10.9949,11.2500
35.7000,-11.0372,11.2908
